,insumo,date_received,quantity_received,unit_cost,saidas
0,Americano,2024-11-14,2,15.09021615,30.1804323
1,Americano,2024-05-30,4,15.3318583575,61.32743343
2,Americano,2024-11-10,2,15.28178942,30.56357884
3,Americano,2024-12-15,2,16.995689665,33.99137933
4,Americano,2024-08-20,3,17.127453243333335,51.382359730000005
5,Americano,2025-02-04,1,19.46341091,19.46341091
6,Americano,2024-11-14,2,15.078268405,30.15653681
7,Americano,2024-10-26,2,17.4016933,34.8033866
8,Americano,2024-07-25,1,17.73151996,17.73151996
9,Americano,2024-03-31,2,13.876289145,27.75257829
10,Americano,2024-11-29,5,16.669554796,83.34777398
11,Americano,2024-11-17,4,16.04859773,64.19439092
12,Americano,2024-09-26,1,15.59105482,15.59105482
13,Americano,2024-10-17,3,16.71182990666667,50.13548972000001
14,Americano,2024-09-28,1,11.84662846,11.84662846
15,Americano,2024-04-22,1,13.05378964,13.05378964
16,Americano,2024-06-12,1,14.92415735,14.92415735
17,Americano,2024-05-07,2,16.40195168,32.80390336
18,Americano,2024-08-17,1,13.19532419,13.19532419
19,Americano,2024-05-24,2,15.364438055,30.72887611
20,Americano,2024-09-17,5,15.195700496,75.97850248
21,Americano,2024-04-17,3,16.98076714666667,50.94230144000001
22,Americano,2025-02-03,4,14.721166465,58.88466586
23,Americano,2024-06-17,1,17.76012138,17.76012138
24,Americano,2024-07-04,2,17.53720688,35.07441376
25,Americano,2025-01-07,2,14.66003738,29.32007476
26,Americano,2024-12-28,1,13.84429712,13.84429712
27,Americano,2024-09-08,3,15.659773853333334,46.97932156
28,Americano,2024-08-21,2,15.372685515,30.74537103
29,Americano,2024-05-30,1,14.63852354,14.63852354
30,Americano,2024-08-19,7,15.033804588571428,105.23663212
31,Americano,2024-09-03,1,17.05711151,17.05711151
32,Americano,2025-01-05,4,14.627702775,58.5108111
33,Americano,2025-01-01,2,17.73611676,35.47223352
34,Americano,2024-06-26,1,14.53592847,14.53592847
35,Americano,2024-04-11,3,12.58399381,37.75198143
36,Americano,2024-10-17,2,12.47897548,24.95795096
37,Americano,2024-04-24,3,14.15340558,42.46021674
38,Americano,2024-10-13,2,16.327753129999998,32.655506259999996
39,Americano,2025-02-04,1,17.73488625,17.73488625
40,Americano,2024-04-02,8,15.49998754375,123.99990035
41,Americano,2024-09-11,3,16.092064943333334,48.27619483
42,Americano,2024-05-27,2,15.39702188,30.79404376
43,Americano,2024-11-28,1,18.45150073,18.45150073
44,Americano,2024-04-15,2,16.813914525,33.62782905
45,Americano,2025-02-11,1,15.62322796,15.62322796
46,Americano,2024-06-28,1,16.20858399,16.20858399
47,Americano,2024-06-05,1,13.16619067,13.16619067
48,Americano,2025-01-03,1,16.42414622,16.42414622
49,Americano,2024-11-25,4,15.43267999,61.73071996
50,Americano,2024-06-06,2,17.293814765,34.58762953
51,Americano,2025-01-21,5,14.857381302,74.28690651
52,Americano,2024-08-03,1,19.71917182,19.71917182
53,Americano,2024-12-06,1,19.03560534,19.03560534
54,Americano,2025-01-06,3,12.847518456666668,38.54255537
55,Americano,2025-02-23,3,15.721728899999995,47.165186699999985
56,Americano,2025-01-02,1,17.17078632,17.17078632
57,Americano,2024-11-11,1,13.74888428,13.74888428
58,Americano,2024-06-10,5,14.64241112,73.2120556
59,Americano,2024-04-21,8,15.73334385875,125.86675087
60,Americano,2024-08-18,1,14.28021056,14.28021056
61,Americano,2024-07-22,1,14.08046492,14.08046492
62,Americano,2025-01-12,1,13.38907537,13.38907537
63,Americano,2024-09-16,1,16.69173859,16.69173859
64,Americano,2024-08-07,1,15.60649838,15.60649838
65,Americano,2024-05-31,3,15.838539713333333,47.51561914
66,Americano,2024-04-27,10,16.433105606,164.33105606
67,Americano,2024-05-30,1,17.02944216,17.02944216
68,Americano,2024-07-25,2,15.018553054999998,30.037106109999996
69,Americano,2024-06-18,1,15.75442046,15.75442046
70,Americano,2024-08-19,2,15.401178515,30.80235703
71,Americano,2024-05-05,1,15.40976032,15.40976032
72,Americano,2024-07-27,2,15.1114552,30.2229104
73,Americano,2024-08-01,2,15.572761135,31.14552227
74,Americano,2024-07-03,4,16.667461025,66.6698441
75,Americano,2025-01-03,3,16.04833521,48.14500563
76,Americano,2024-05-21,1,13.66733933,13.66733933
77,Americano,2024-07-23,1,15.03053325,15.03053325
78,Americano,2024-06-18,6,16.063654091666667,96.38192455000001
79,Americano,2024-08-21,1,17.35624428,17.35624428
80,Americano,2025-01-15,2,15.05862283,30.11724566
81,Americano,2024-09-21,1,17.07737866,17.07737866
